Id,PrecoVenda
1293,174428.8612482417
1306,215168.11739655325
721,124461.77357794563
345,134828.40875077187
39,89038.75466357984
881,225035.58847104033
757,151928.34737436424
413,110818.20834957642
76,109091.48955530106
1331,126007.31683884384
740,132633.66835709664
162,268217.92603319313
530,220891.14992838431
1020,152666.64077972472
714,171821.88636040056
846,197886.38364474554
700,288156.92606036447
35,309788.26856453426
636,74089.43661401348
1406,135619.3900412613
958,197984.26609279678
1175,343167.9227471885
505,110521.75824544599
126,130856.93727815428
691,545042.276449127
83,111843.19979083704
495,54324.596872689755
241,109904.70890107061
389,426921.7370627414
1094,121209.46449025211
301,257868.113739475
110,143305.5480717369
1233,135835.04562820066
717,168643.18805353096
1402,202968.03299745076
1250,299172.37236815353
442,165120.4391725899
168,191703.19254726215
378,366340.0068286542
462,111314.46763838289
1157,202070.28429874717
939,205269.07301857232
1117,126380.04729730592
145,129571.90078678328
1384,88458.25698205395
741,135575.43907358215
16,150197.4494205214
1070,111289.91926629803
1341,145761.60731721498
986,118764.75928384784
848,201570.75007182485
380,147545.53912275782
1179,100474.08169634626
1431,141096.96722658884
1325,72035.27616780924
329,85936.43594080399
1217,244889.91327198336
525,202597.9299355965
838,148220.54477583562
569,137419.5617826199
792,282761.3663271378
897,136752.62912255243
201,185915.22005162164
502,135230.36371703513
537,98735.50465397819
169,256238.4812794874
89,118405.89747519398
856,171932.9486293051
278,387111.4641834964
796,152744.05404297463
439,93929.88418751452
78,139465.9465683356
1430,177661.7813498608
31,145477.54118717377
686,234960.37020801424
786,118358.09493697094
427,99572.23559650037
755,165360.75112767352
498,117977.7479152157
568,320703.0250036281
818,157836.7952540463
1159,197766.43642130183
514,88589.497871128
1088,137258.17386739384
1135,117414.92926827606
517,299370.8594460435
769,451870.4845059423
1019,186867.73146604208
79,113093.47616551953
797,94042.18195418242
1110,181030.15364572927
646,116088.3030428148
90,105153.06734753409
1130,170667.73488215738
886,150729.88950521746
1241,254554.35461195823
676,58172.12801937843
260,169705.07574502213
1334,147656.71319999706
1315,205730.141333795
1230,224326.5421415287
841,159421.62518231894
1112,117424.666935913
983,235060.6459861409
1180,258768.1961719642
197,261285.97294295862
233,122902.78047543202
816,119870.77422343657
1033,246055.1872512578
1349,158959.12173841379
119,186556.38297941754
38,138092.45367115128
809,108872.91531781657
1127,239936.87854486398
745,321010.4288154722
1137,98200.52748771614
873,129047.60638387201
205,185592.7390244345
186,180481.2576527739
658,122632.70885224777
1177,99628.37239182318
996,119661.1618512588
221,184111.60587405492
705,85671.79297549356
916,-10297.809796599118
874,99264.9342693022
163,85312.65392156449
1320,174576.6450143668
140,53560.568932019494
188,120817.97111187302
1238,142616.7240453531
707,218297.76604677035
668,165850.44838772804
766,188383.78780613185
687,155484.43806380357
420,204020.01790836852
509,131501.37058916295
649,61903.28842624297
1204,150735.15749953644
155,79686.76710609937
344,79848.66315180933
598,213985.88600678803
902,182266.1457808575
40,167779.92379561593
1328,237375.01902744776
693,105485.96975353654
672,200580.78412657478
466,173040.99348602907
1266,98215.0063286385
33,189066.42302851236
1347,280447.8841790393
22,235261.47740435085
388,195861.92390856086
28,187130.12817602252
1016,213322.44876343381
395,121793.7466562404
80,192329.63122895602
782,191650.3926644367
1304,151690.27322820408
246,124480.55789643744
1201,194733.1207497572
1170,140926.1309712885
1415,219379.8808812487
679,125293.79320772001
887,127539.83865274859
1300,223184.96434526422
232,89784.94167358041
30,41632.42041095844
138,244488.0032406818
937,228055.57068915022
182,111900.79528137928
1169,438843.50971896783
154,102562.34852599227
315,183653.62051246918
504,152755.3159543343
1252,107696.66778681843
1289,334278.1456551604
1383,161260.55642942482
1257,89578.727686525
214,155541.9155569815
424,133638.20459071835
1140,126520.46576117209
627,175819.24365042816
1439,181769.04586743118
566,352906.2106779658
581,371815.428612367
473,334758.29834291816
521,154427.31164333367
673,261613.9318787719
1136,124999.64828075489
117,149301.06325309243
474,287254.1375246964
733,122784.46309114344
1297,128586.53532682898
264,57414.281338353845
17,116097.07248393245
1337,37927.03792191853
840,156052.02742498842
889,167600.61538929623
758,154227.5800836291
1416,138475.25027316864
631,212362.32666020744
66,245593.53219446502
433,180796.37068657266
1368,125724.0293805004
555,118478.52250905402
476,210156.47156678597
1028,106567.0472849507
127,58748.69768954537
999,193637.0492185702
101,179344.228972044
1142,335605.3930676477
1269,119288.27764849467
276,205917.03581173913
1451,283671.27546541137
1235,157292.75075953585
269,152759.8773460893
1178,147354.04195495517
1064,164939.29566518267
1259,175174.66550625823
582,87289.4010761076
1284,194281.17413861785
1378,92538.96206232553
666,217740.84478166138
751,159208.20521064507
545,241439.23668130746
242,79441.86022241376
1223,200470.3794247608
784,134106.64505023512
1091,145494.70880861147
361,127610.0413925666
1279,54803.16191305712
1258,178364.02558121164
1302,322038.0219911032
167,362487.7900942991
440,462144.03464813775
1281,217073.75595637746
982,193870.52256817298
481,353279.0419077255
648,148700.91035374612
1418,128553.70538610584
1077,132929.56234123177
515,412685.2682403282
67,214638.0235541174
664,356079.8055596923
1322,267593.5498433325
706,263845.65142657864
878,161745.60593026175
952,132246.85047904737
884,95624.16815610425
813,154843.9278679193
506,216391.37809526952
591,384486.0132651194
123,144904.61356785937
845,189234.2602258649
428,202084.37298704786
1428,112159.99356386109
749,98572.0832822432
1422,122037.96293292855
527,413126.5462460222
814,110139.76153618618
366,179090.47834717282
1164,215431.03574608537
655,85617.95475308769
118,322322.50971492706
293,229205.57629907838
1355,187190.51188308114
1081,119828.37885231708
1018,163691.56499283054
432,144222.0531831165
1285,134339.9777471534
616,183612.00305261018
45,305504.2745071193
959,156826.58065361468
1224,190742.30291545062
662,151400.76413645185
956,144642.30546333359
222,167719.14803801136
1251,207037.6209963051
297,243406.23085617504
1254,187830.10647015247
690,128136.59611728854
54,105947.8879138082
1237,212109.97228981912
953,183027.53449407444
951,130681.06046184953
107,25590.701435274008
408,284269.72399264784
1038,91659.09906511495
1221,120839.46519855878
1411,167066.4941847107
1190,177489.394267384
