Id,PrecoVenda
1293,175528.09347576537
1306,214409.1587993279
721,124129.10060928005
345,132773.52752467577
39,89381.44096811261
881,224361.16947273753
757,151499.11363571667
413,111327.89406333101
76,109936.36276312597
1331,125936.58330187871
740,131175.8095755325
162,267315.75228385837
530,220064.19545317948
1020,149557.31225824804
714,171605.79790441127
846,198095.8733306834
700,288142.21854513744
35,308700.9625452771
636,71612.16161077679
1406,134560.320798304
958,197834.88855548057
1175,342499.6702923445
505,107845.5561369026
126,131693.7832101948
691,543602.9089518983
83,111825.9921659492
495,55282.64729094994
241,110400.88906162308
389,427693.2873776177
1094,121706.87602795748
301,259132.6148740339
110,142380.0018329317
1233,134805.03707515763
717,166858.3509393604
1402,204265.6034648707
1250,300957.936663711
442,163761.01645632082
168,192057.16843249992
378,366665.8846930013
462,113003.9982341461
1157,202961.07369120693
939,207775.0059783198
1117,125704.93488487363
145,128730.86833054753
1384,88690.39767829055
741,135609.38079634315
16,151595.25572312233
1070,110289.34491768427
1341,145241.9274168978
986,122372.18275335833
848,208199.68462409655
380,146429.3925637729
1179,100001.17813667713
1431,141023.04907254467
1325,72149.9826759604
329,90909.64859385247
1217,244206.90300049842
525,201605.21622105647
838,146882.96823448263
569,138319.7456785054
792,282888.0581862822
897,137059.71942358074
201,187526.15590159566
502,140930.40322418424
537,98698.10881996562
169,256203.9766173064
89,117497.09970406821
856,172730.38649031828
278,386689.70928793703
796,153836.688200933
439,95505.69895368954
78,138777.89825874264
1430,176234.37052921014
31,143645.96007596486
686,234654.43385866494
786,120897.76944948343
427,101485.88882688532
755,162955.34934202943
498,117882.77101765206
568,309674.7326844783
818,157819.14243640302
1159,185909.2440331828
514,109374.91204282216
1088,137046.91252056923
1135,117657.54969685694
517,299137.0832293595
769,450923.80522504565
1019,186541.48447219084
79,112243.10187997873
797,92036.74251185992
1110,180627.65892491554
646,116754.29962528154
90,105268.09328113211
1130,168670.9954568877
886,151259.82659218932
1241,255499.37212044047
676,60668.486502481566
260,175349.87553705258
1334,146362.81579929608
1315,206683.91627205053
1230,222743.80108053377
841,148693.9464951703
1112,118291.47056718805
983,236867.47318464116
1180,259149.3000542224
197,264074.8238927515
233,121866.90062470204
816,119521.62502125598
1033,246509.36341655994
1349,160129.5116831769
119,185305.41664598673
38,136357.08224698243
809,112942.24382565211
1127,240462.21061368863
745,325735.9356541018
1137,98178.75128690607
873,130238.21237505524
205,186552.39615583123
186,180708.8390563011
658,123352.93865680922
1177,99384.90709458146
996,121556.99751775851
221,183405.01587685058
705,90568.54977559717
916,-13030.639501355327
874,99372.83512871509
163,84209.36823863228
1320,174263.6490089036
140,54836.61611092824
188,120735.70270007936
1238,140700.91931820376
707,219142.92818808253
668,167006.7264769149
766,188510.80462640635
687,156533.8831410071
420,205003.69251205487
509,131587.24759490934
649,62784.73339985922
1204,151437.4402869598
155,80503.8764149528
344,79589.8474267521
598,212873.48167651234
902,182828.9515301446
40,168808.5224638341
1328,245552.30365602212
693,103773.42450326303
672,200878.9127188846
466,173493.60239901516
1266,99776.00971225742
33,188248.24111095205
1347,280161.6009673304
22,235182.22642191366
388,195590.89984137012
28,186666.06697733112
1016,212848.88700693526
395,122982.36931560788
80,194063.3964555959
782,191868.07549173344
1304,151086.29358629254
246,149417.09802176757
1201,194213.4783223236
1170,141282.62998958438
1415,219322.74219842476
679,126674.96842855617
887,126494.89627170906
1300,223352.33844359097
232,90107.34057583759
30,38480.5347528577
138,244968.21137992007
937,228993.86817899445
182,113709.41421263729
1169,437681.8210436596
154,108177.8110003295
315,184670.0205905203
504,152832.05059066263
1252,106897.74408201763
1289,333771.04686627677
1383,161095.20105808025
1257,91880.29969830962
214,155536.40706151183
424,133458.51271706953
1140,129639.47629991034
627,176491.66212398064
1439,183566.93731123832
566,353371.61616868037
581,376619.8922007679
473,335003.5137764488
521,157260.19918498554
673,260774.1544327144
1136,123611.3698692157
117,146147.98106260644
474,288835.6961081133
733,122556.84879895771
1297,128532.3493422498
264,56177.00174282113
17,115530.15665435133
1337,34054.718669901486
840,157006.42278687767
889,167342.6817786246
758,153416.32137148542
1416,137821.54800579965
